STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/23/2010,,0.17,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/24/2010,,0.27,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/25/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/26/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/27/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",2/28/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/1/2010,,0.48,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/2/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/3/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/4/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/5/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/6/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/7/2010,,0.03,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/8/2010,,0.44,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/9/2010,,0.07,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/10/2010,,0.01,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/11/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/12/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/13/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/14/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/15/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/16/2010,,0.93,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/17/2010,,0.2,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/18/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/19/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/20/2010,,0.73,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/21/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/22/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/23/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/24/2010,,0.03,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/25/2010,,0.24,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/26/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/27/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/28/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/29/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/30/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",3/31/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/1/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/2/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/3/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/4/2010,,0.04,,,,,,,,,,,,,,,,,,,,,
